;0
0;0,07675124733812279
1;0,04956008081013958
2;0,036998642132514054
3;0,02749741157102916
4;0,021250330522242518
5;0,01643788930442598
6;0,013503310612092416
7;0,012190705827540822
8;0,010623388589980702
9;0,010597375402640965
10;0,010116817988455295
11;0,009867861253830294
12;0,009689424838870763
13;0,00944567933006005
14;0,009943918966584735
15;0,009744219093893966
16;0,009569584353206059
17;0,009617248462099168
18;0,009530750768155688
19;0,009517238630602757
20;0,009795013967797988
21;0,009192299105537434
22;0,009691256178646452
23;0,009307790211298399
24;0,00935829982885884
25;0,009763947698391146
26;0,009504586822974186
27;0,00991119576825036
28;0,009522290447623365
29;0,009845377820440464
