;0
0;0,03548167570649336
1;0,010346244260047873
2;0,009460942888270235
3;0,009568025642592046
4;0,009845178267763306
5;0,009327040012511943
6;0,009078586468886998
7;0,009500453238272005
8;0,008897754242126313
9;0,009061902831308543
10;0,009228918234455503
11;0,008320177007570035
12;0,009335520547918148
13;0,009081759456441635
14;0,009265036380384117
15;0,009041885954017441
16;0,00891047033170859
17;0,00866347443467627
18;0,008563445783996334
19;0,009254967379901145
20;0,008905909206562986
21;0,008777190305085645
22;0,008492166585185461
23;0,008496357959746901
24;0,008793453622557637
25;0,008603458204824064
26;0,009217833320144564
27;0,009241604916233983
28;0,008958344901394513
29;0,00837721889709226
