;0
0;0,019662954373699096
1;0,00734582357108593
2;0,005821132780207942
3;0,0055984683722878495
4;0,005555451885124462
5;0,005484142569669833
6;0,005297647069932686
7;0,0041050916388889564
8;0,003974459851289996
9;0,00401030428474769
10;0,0039609425119124355
11;0,003857913857144821
12;0,0039114074943225
13;0,0038950197101156746
14;0,003955213496616731
15;0,003846177381152908
16;0,0037994262374316653
17;0,003805437867736651
18;0,003793581725201673
19;0,003834117941894672
20;0,0037979445045089556
21;0,0037609851498725927
22;0,00381726993752333
23;0,0037502176173600473
24;0,003756500362780773
25;0,003722243295568559
26;0,003736659954302013
27;0,0037732264925984457
28;0,003704140421986166
29;0,0037227738881483673
